model,pathogen,metric,flagging_score,count_score,extraction_score,overall_score
oss,Ebola,F1,0.915,0.667,0.64,0.741
oss,Ebola,Precision,0.915,0.5,0.593,0.669
oss,Ebola,Recall,0.917,1.0,0.72,0.879
oss,Lassa,F1,0.97,0.75,0.697,0.806
oss,Lassa,Precision,0.955,0.6,0.678,0.744
oss,Lassa,Recall,0.987,1.0,0.732,0.906
oss,SARS,F1,0.861,0.648,0.639,0.716
oss,SARS,Precision,0.861,0.486,0.596,0.648
oss,SARS,Recall,0.861,0.971,0.715,0.849
oss,Zika,F1,0.876,0.646,0.699,0.74
oss,Zika,Precision,0.868,0.483,0.661,0.671
oss,Zika,Recall,0.892,0.977,0.778,0.882
deepseek,Ebola,F1,0.864,0.886,0.607,0.786
deepseek,Ebola,Precision,0.866,0.805,0.574,0.748
deepseek,Ebola,Recall,0.864,0.986,0.653,0.834
deepseek,Lassa,F1,0.893,1.0,0.782,0.892
deepseek,Lassa,Precision,0.964,1.0,0.79,0.918
deepseek,Lassa,Recall,0.85,1.0,0.779,0.876
deepseek,SARS,F1,0.816,0.824,0.588,0.743
deepseek,SARS,Precision,0.834,0.7,0.552,0.695
deepseek,SARS,Recall,0.81,1.0,0.64,0.817
deepseek,Zika,F1,0.898,0.973,0.613,0.828
deepseek,Zika,Precision,0.903,0.973,0.594,0.823
deepseek,Zika,Recall,0.894,0.973,0.643,0.837
kimi,Ebola,F1,0.928,0.771,0.639,0.779
kimi,Ebola,Precision,0.928,0.632,0.596,0.719
kimi,Ebola,Recall,0.929,0.988,0.71,0.876
kimi,Lassa,F1,0.97,0.857,0.731,0.853
kimi,Lassa,Precision,0.955,0.75,0.697,0.801
kimi,Lassa,Recall,0.987,1.0,0.779,0.922
kimi,SARS,F1,0.871,0.805,0.662,0.779
kimi,SARS,Precision,0.87,0.673,0.627,0.723
kimi,SARS,Recall,0.872,1.0,0.739,0.87
kimi,Zika,F1,0.909,0.826,0.705,0.813
kimi,Zika,Precision,0.901,0.717,0.671,0.763
kimi,Zika,Recall,0.92,0.974,0.77,0.888
glm,Ebola,F1,0.946,0.929,0.655,0.843
glm,Ebola,Precision,0.947,0.876,0.622,0.815
glm,Ebola,Recall,0.945,0.987,0.709,0.88
glm,Lassa,F1,1.0,1.0,0.738,0.913
glm,Lassa,Precision,1.0,1.0,0.729,0.91
glm,Lassa,Recall,1.0,1.0,0.768,0.923
glm,SARS,F1,0.839,0.861,0.624,0.775
glm,SARS,Precision,0.846,0.756,0.592,0.731
glm,SARS,Recall,0.836,1.0,0.679,0.838
glm,Zika,F1,0.928,0.925,0.709,0.854
glm,Zika,Precision,0.928,0.881,0.689,0.833
glm,Zika,Recall,0.928,0.974,0.755,0.886
gpt,Ebola,F1,0.892,0.715,0.66,0.756
gpt,Ebola,Precision,0.893,0.556,0.621,0.69
gpt,Ebola,Recall,0.895,1.0,0.74,0.878
gpt,Lassa,F1,0.97,0.75,0.715,0.812
gpt,Lassa,Precision,0.955,0.6,0.678,0.744
gpt,Lassa,Recall,0.987,1.0,0.785,0.924
gpt,SARS,F1,0.861,0.66,0.636,0.719
gpt,SARS,Precision,0.861,0.493,0.606,0.653
gpt,SARS,Recall,0.861,1.0,0.726,0.862
gpt,Zika,F1,0.896,0.757,0.688,0.78
gpt,Zika,Precision,0.886,0.609,0.669,0.721
gpt,Zika,Recall,0.911,1.0,0.775,0.895
