model,category,metric,mean_score,std_score,n_pathogens
oss,flagging,F1,0.906,0.042,4
oss,count,F1,0.678,0.043,4
oss,extraction,F1,0.669,0.029,4
oss,overall,F1,0.751,0.033,4
oss,flagging,Precision,0.9,0.038,4
oss,count,Precision,0.517,0.048,4
oss,extraction,Precision,0.632,0.038,4
oss,overall,Precision,0.683,0.036,4
oss,flagging,Recall,0.914,0.046,4
oss,count,Recall,0.987,0.013,4
oss,extraction,Recall,0.736,0.025,4
oss,overall,Recall,0.879,0.02,4
deepseek,flagging,F1,0.868,0.033,4
deepseek,count,F1,0.921,0.07,4
deepseek,extraction,F1,0.648,0.078,4
deepseek,overall,F1,0.812,0.055,4
deepseek,flagging,Precision,0.892,0.048,4
deepseek,count,Precision,0.869,0.123,4
deepseek,extraction,Precision,0.628,0.095,4
deepseek,overall,Precision,0.796,0.084,4
deepseek,flagging,Recall,0.854,0.03,4
deepseek,count,Recall,0.99,0.011,4
deepseek,extraction,Recall,0.679,0.058,4
deepseek,overall,Recall,0.841,0.022,4
kimi,flagging,F1,0.92,0.036,4
kimi,count,F1,0.815,0.031,4
kimi,extraction,F1,0.684,0.036,4
kimi,overall,F1,0.806,0.03,4
kimi,flagging,Precision,0.914,0.032,4
kimi,count,Precision,0.693,0.045,4
kimi,extraction,Precision,0.648,0.039,4
kimi,overall,Precision,0.752,0.033,4
kimi,flagging,Recall,0.927,0.041,4
kimi,count,Recall,0.99,0.011,4
kimi,extraction,Recall,0.75,0.027,4
kimi,overall,Recall,0.889,0.02,4
glm,flagging,F1,0.928,0.058,4
glm,count,F1,0.929,0.049,4
glm,extraction,F1,0.682,0.045,4
glm,overall,F1,0.846,0.049,4
glm,flagging,Precision,0.93,0.055,4
glm,count,Precision,0.878,0.086,4
glm,extraction,Precision,0.658,0.054,4
glm,overall,Precision,0.822,0.064,4
glm,flagging,Recall,0.927,0.059,4
glm,count,Recall,0.99,0.011,4
glm,extraction,Recall,0.728,0.036,4
glm,overall,Recall,0.882,0.03,4
gpt,flagging,F1,0.905,0.04,4
gpt,count,F1,0.72,0.038,4
gpt,extraction,F1,0.675,0.03,4
gpt,overall,F1,0.767,0.034,4
gpt,flagging,Precision,0.899,0.035,4
gpt,count,Precision,0.564,0.046,4
gpt,extraction,Precision,0.644,0.031,4
gpt,overall,Precision,0.702,0.034,4
gpt,flagging,Recall,0.914,0.046,4
gpt,count,Recall,1.0,0.0,4
gpt,extraction,Recall,0.756,0.024,4
gpt,overall,Recall,0.89,0.023,4
