model,pathogen,metric,flagging_score,count_score,extraction_score,overall_score
oss,Lassa,F1,0.705,0.909,0.772,0.795
oss,Lassa,Precision,0.69,0.833,0.848,0.79
oss,Lassa,Recall,0.816,1.0,0.734,0.85
oss,Zika,F1,0.525,0.468,0.801,0.598
oss,Zika,Precision,0.576,0.489,0.844,0.636
oss,Zika,Recall,0.713,0.449,0.778,0.647
deepseek,Lassa,F1,0.623,0.909,0.764,0.765
deepseek,Lassa,Precision,0.613,0.833,0.754,0.733
deepseek,Lassa,Recall,0.652,1.0,0.777,0.81
deepseek,Zika,F1,0.682,0.642,0.734,0.686
deepseek,Zika,Precision,0.654,0.68,0.692,0.675
deepseek,Zika,Recall,0.817,0.607,0.805,0.743
kimi,Lassa,F1,0.688,0.947,0.829,0.821
kimi,Lassa,Precision,0.671,0.9,0.841,0.804
kimi,Lassa,Recall,0.765,1.0,0.831,0.865
kimi,Zika,F1,0.589,0.79,0.732,0.704
kimi,Zika,Precision,0.614,0.721,0.712,0.682
kimi,Zika,Recall,0.803,0.875,0.781,0.82
glm,Lassa,F1,0.66,0.923,0.783,0.789
glm,Lassa,Precision,0.649,1.0,0.826,0.825
glm,Lassa,Recall,0.677,0.857,0.756,0.763
glm,Zika,F1,0.699,0.519,0.759,0.659
glm,Zika,Precision,0.67,0.84,0.741,0.75
glm,Zika,Recall,0.872,0.375,0.779,0.675
gpt,Lassa,F1,0.744,0.769,0.812,0.775
gpt,Lassa,Precision,0.719,0.625,0.84,0.728
gpt,Lassa,Recall,0.84,1.0,0.79,0.877
gpt,Zika,F1,0.574,0.833,0.871,0.759
gpt,Zika,Precision,0.595,0.763,0.879,0.746
gpt,Zika,Recall,0.748,0.918,0.868,0.845
