pathogen,field,precision,recall,f1,model
Lassa,outbreak_count,0.833,1.0,0.909,oss
Lassa,outbreak_start_day,0.857,0.667,0.75,oss
Lassa,outbreak_start_month,0.778,0.778,0.778,oss
Lassa,outbreak_start_year,0.889,0.8,0.842,oss
Lassa,outbreak_end_day,0.857,0.667,0.75,oss
Lassa,outbreak_end_month,0.778,0.778,0.778,oss
Lassa,cases_confirmed,0.75,0.6,0.667,oss
Lassa,deaths,0.9,0.9,0.9,oss
Lassa,outbreak_country,1.0,1.0,1.0,oss
Lassa,outbreak_location,0.5,0.556,0.526,oss
Lassa,mode_of_detection,0.714,0.5,0.588,oss
Lassa,pre_outbreak,1.0,0.3,0.462,oss
Lassa,outbreak_is_currently_ongoing,1.0,1.0,1.0,oss
Lassa,asymptomatic_transmission_described,1.0,1.0,1.0,oss
Lassa,Article Flagging,0.69,0.816,0.705,oss
Zika,outbreak_count,0.489,0.449,0.468,oss
Zika,outbreak_start_day,0.952,0.952,0.952,oss
Zika,outbreak_start_month,0.8,0.8,0.8,oss
Zika,outbreak_start_year,0.9,0.818,0.857,oss
Zika,outbreak_end_day,0.947,0.857,0.9,oss
Zika,outbreak_end_month,0.65,0.65,0.65,oss
Zika,cases_confirmed,0.857,0.857,0.857,oss
Zika,deaths,1.0,1.0,1.0,oss
Zika,outbreak_country,1.0,1.0,1.0,oss
Zika,outbreak_location,0.5,0.5,0.5,oss
Zika,mode_of_detection,0.5,0.409,0.45,oss
Zika,pre_outbreak,1.0,0.409,0.581,oss
Zika,outbreak_is_currently_ongoing,0.864,0.864,0.864,oss
Zika,asymptomatic_transmission_described,1.0,1.0,1.0,oss
Zika,Article Flagging,0.576,0.713,0.525,oss
Lassa,outbreak_count,0.833,1.0,0.909,deepseek
Lassa,outbreak_start_day,0.8,1.0,0.889,deepseek
Lassa,outbreak_start_month,0.8,0.8,0.8,deepseek
Lassa,outbreak_start_year,0.8,0.8,0.8,deepseek
Lassa,outbreak_end_day,0.4,0.5,0.444,deepseek
Lassa,outbreak_end_month,0.8,0.8,0.8,deepseek
Lassa,cases_confirmed,0.8,0.8,0.8,deepseek
Lassa,deaths,1.0,1.0,1.0,deepseek
Lassa,outbreak_country,1.0,1.0,1.0,deepseek
Lassa,outbreak_location,0.0,0.0,0.0,deepseek
Lassa,mode_of_detection,0.6,0.6,0.6,deepseek
Lassa,pre_outbreak,0.8,0.8,0.8,deepseek
Lassa,outbreak_is_currently_ongoing,1.0,1.0,1.0,deepseek
Lassa,asymptomatic_transmission_described,1.0,1.0,1.0,deepseek
Lassa,Article Flagging,0.613,0.652,0.623,deepseek
