model,category,metric,mean_score,std_score,n_pathogens
oss,flagging,F1,0.615,0.09,2
oss,count,F1,0.688,0.22,2
oss,extraction,F1,0.786,0.015,2
oss,overall,F1,0.696,0.099,2
oss,flagging,Precision,0.633,0.057,2
oss,count,Precision,0.661,0.172,2
oss,extraction,Precision,0.846,0.002,2
oss,overall,Precision,0.713,0.077,2
oss,flagging,Recall,0.764,0.051,2
oss,count,Recall,0.724,0.276,2
oss,extraction,Recall,0.756,0.022,2
oss,overall,Recall,0.748,0.101,2
deepseek,flagging,F1,0.653,0.03,2
deepseek,count,F1,0.776,0.134,2
deepseek,extraction,F1,0.749,0.015,2
deepseek,overall,F1,0.726,0.039,2
deepseek,flagging,Precision,0.634,0.021,2
deepseek,count,Precision,0.756,0.076,2
deepseek,extraction,Precision,0.723,0.031,2
deepseek,overall,Precision,0.704,0.029,2
deepseek,flagging,Recall,0.734,0.082,2
deepseek,count,Recall,0.804,0.196,2
deepseek,extraction,Recall,0.791,0.014,2
deepseek,overall,Recall,0.776,0.034,2
kimi,flagging,F1,0.638,0.049,2
kimi,count,F1,0.868,0.078,2
kimi,extraction,F1,0.78,0.048,2
kimi,overall,F1,0.762,0.058,2
kimi,flagging,Precision,0.643,0.029,2
kimi,count,Precision,0.81,0.09,2
kimi,extraction,Precision,0.776,0.064,2
kimi,overall,Precision,0.743,0.061,2
kimi,flagging,Recall,0.784,0.019,2
kimi,count,Recall,0.938,0.062,2
kimi,extraction,Recall,0.806,0.025,2
kimi,overall,Recall,0.842,0.023,2
glm,flagging,F1,0.68,0.019,2
glm,count,F1,0.721,0.202,2
glm,extraction,F1,0.771,0.012,2
glm,overall,F1,0.724,0.065,2
glm,flagging,Precision,0.66,0.011,2
glm,count,Precision,0.92,0.08,2
glm,extraction,Precision,0.784,0.042,2
glm,overall,Precision,0.788,0.037,2
glm,flagging,Recall,0.774,0.097,2
glm,count,Recall,0.616,0.241,2
glm,extraction,Recall,0.768,0.012,2
glm,overall,Recall,0.719,0.044,2
gpt,flagging,F1,0.659,0.085,2
gpt,count,F1,0.801,0.032,2
gpt,extraction,F1,0.842,0.029,2
gpt,overall,F1,0.767,0.008,2
gpt,flagging,Precision,0.657,0.062,2
gpt,count,Precision,0.694,0.069,2
gpt,extraction,Precision,0.859,0.02,2
gpt,overall,Precision,0.737,0.009,2
gpt,flagging,Recall,0.794,0.046,2
gpt,count,Recall,0.959,0.041,2
gpt,extraction,Recall,0.829,0.039,2
gpt,overall,Recall,0.861,0.016,2
