model,pathogen,metric,flagging_score,count_score,extraction_score,overall_score
oss,Ebola,F1,0.722,0.59,0.501,0.604
oss,Ebola,Precision,0.596,0.794,0.485,0.625
oss,Ebola,Recall,0.917,0.47,0.539,0.642
oss,Lassa,F1,0.711,0.514,0.551,0.592
oss,Lassa,Precision,0.557,1.0,0.578,0.712
oss,Lassa,Recall,0.982,0.346,0.535,0.621
oss,SARS,F1,0.62,0.694,0.558,0.624
oss,SARS,Precision,0.5,0.804,0.514,0.606
oss,SARS,Recall,0.815,0.61,0.633,0.686
oss,Zika,F1,0.567,0.567,0.531,0.555
oss,Zika,Precision,0.403,0.72,0.515,0.546
oss,Zika,Recall,0.957,0.468,0.574,0.666
deepseek,Ebola,F1,0.637,0.58,0.487,0.568
deepseek,Ebola,Precision,0.492,0.571,0.542,0.535
deepseek,Ebola,Recall,0.905,0.588,0.472,0.655
deepseek,Lassa,F1,0.676,0.513,0.471,0.553
deepseek,Lassa,Precision,0.538,0.464,0.547,0.516
deepseek,Lassa,Recall,0.909,0.575,0.457,0.647
deepseek,SARS,F1,0.52,0.6,0.546,0.555
deepseek,SARS,Precision,0.391,0.596,0.584,0.524
deepseek,SARS,Recall,0.778,0.603,0.537,0.639
deepseek,Zika,F1,0.575,0.546,0.51,0.544
deepseek,Zika,Precision,0.414,0.501,0.55,0.488
deepseek,Zika,Recall,0.937,0.599,0.504,0.68
kimi,Ebola,F1,0.769,0.61,0.545,0.641
kimi,Ebola,Precision,0.673,0.524,0.545,0.581
kimi,Ebola,Recall,0.896,0.73,0.567,0.731
kimi,Lassa,F1,0.806,0.686,0.574,0.689
kimi,Lassa,Precision,0.703,0.593,0.578,0.625
kimi,Lassa,Recall,0.945,0.812,0.598,0.785
kimi,SARS,F1,0.617,0.557,0.574,0.583
kimi,SARS,Precision,0.561,0.452,0.525,0.513
kimi,SARS,Recall,0.685,0.724,0.653,0.687
kimi,Zika,F1,0.681,0.628,0.549,0.619
kimi,Zika,Precision,0.561,0.549,0.538,0.55
kimi,Zika,Recall,0.865,0.733,0.592,0.73
glm,Ebola,F1,0.77,0.617,0.52,0.636
glm,Ebola,Precision,0.725,0.587,0.506,0.606
glm,Ebola,Recall,0.822,0.65,0.563,0.678
glm,Lassa,F1,0.821,0.657,0.558,0.679
glm,Lassa,Precision,0.774,0.742,0.576,0.697
glm,Lassa,Recall,0.873,0.589,0.562,0.675
glm,SARS,F1,0.618,0.548,0.554,0.573
glm,SARS,Precision,0.576,0.511,0.512,0.533
glm,SARS,Recall,0.667,0.59,0.619,0.625
glm,Zika,F1,0.678,0.629,0.537,0.615
glm,Zika,Precision,0.619,0.593,0.524,0.579
glm,Zika,Recall,0.748,0.669,0.577,0.665
gpt,Ebola,F1,0.714,0.584,0.568,0.622
gpt,Ebola,Precision,0.578,0.458,0.579,0.538
gpt,Ebola,Recall,0.934,0.804,0.575,0.771
gpt,Lassa,F1,0.733,0.45,0.633,0.605
gpt,Lassa,Precision,0.579,0.305,0.659,0.514
gpt,Lassa,Recall,1.0,0.855,0.626,0.827
gpt,SARS,F1,0.602,0.522,0.583,0.569
gpt,SARS,Precision,0.471,0.371,0.557,0.466
gpt,SARS,Recall,0.833,0.879,0.627,0.78
gpt,Zika,F1,0.594,0.446,0.561,0.534
gpt,Zika,Precision,0.431,0.31,0.555,0.432
gpt,Zika,Recall,0.955,0.797,0.593,0.782
