pathogen,model,field,precision,recall,f1
Ebola,oss,parameter_count,0.794,0.47,0.59
Ebola,oss,unit,0.621,0.346,0.444
Ebola,oss,value,0.204,0.204,0.204
Ebola,oss,method,0.481,0.781,0.595
Ebola,oss,value_type,0.302,0.333,0.317
Ebola,oss,paired_uncertainty,0.592,0.725,0.652
Ebola,oss,single_type_uncertainty,0.98,0.943,0.962
Ebola,oss,population_sex,0.623,0.786,0.695
Ebola,oss,population_group,0.245,0.325,0.28
Ebola,oss,population_sample_type,0.321,0.405,0.358
Lassa,oss,parameter_count,1.0,0.346,0.514
Lassa,oss,unit,0.5,0.429,0.462
Lassa,oss,value,0.222,0.222,0.222
Lassa,oss,method,1.0,0.889,0.941
Lassa,oss,value_type,0.375,0.429,0.4
Lassa,oss,paired_uncertainty,0.25,0.4,0.308
Lassa,oss,single_type_uncertainty,1.0,1.0,1.0
Lassa,oss,population_sex,0.857,0.667,0.75
Lassa,oss,population_group,0.143,0.111,0.125
Lassa,oss,population_sample_type,0.857,0.667,0.75
SARS,oss,parameter_count,0.804,0.61,0.694
SARS,oss,unit,0.686,0.608,0.645
SARS,oss,value,0.234,0.234,0.234
SARS,oss,method,0.757,0.83,0.792
SARS,oss,value_type,0.346,0.569,0.43
SARS,oss,paired_uncertainty,0.391,0.878,0.541
SARS,oss,single_type_uncertainty,0.815,0.946,0.876
SARS,oss,population_sex,0.589,0.75,0.66
SARS,oss,population_group,0.226,0.25,0.238
SARS,oss,population_sample_type,0.581,0.629,0.604
Zika,oss,parameter_count,0.72,0.468,0.567
Zika,oss,unit,0.648,0.434,0.52
Zika,oss,value,0.138,0.138,0.138
Zika,oss,method,0.863,0.796,0.828
Zika,oss,value_type,0.123,0.222,0.158
Zika,oss,statistical_approach,0.439,0.658,0.526
Zika,oss,paired_uncertainty,0.461,0.898,0.609
Zika,oss,single_type_uncertainty,0.974,0.991,0.982
Zika,oss,population_sex,0.591,0.701,0.642
Zika,oss,population_group,0.544,0.539,0.541
Zika,oss,population_sample_type,0.368,0.365,0.367
Ebola,deepseek,parameter_count,0.571,0.588,0.58
Ebola,deepseek,unit,0.853,0.376,0.522
Ebola,deepseek,value,0.267,0.267,0.267
Ebola,deepseek,method,0.775,0.821,0.797
Ebola,deepseek,value_type,0.47,0.354,0.404
Ebola,deepseek,paired_uncertainty,0.65,0.705,0.676
Ebola,deepseek,single_type_uncertainty,0.638,0.953,0.765
Ebola,deepseek,population_sex,0.532,0.323,0.402
Ebola,deepseek,population_group,0.333,0.223,0.267
Ebola,deepseek,population_sample_type,0.356,0.23,0.279
Lassa,deepseek,parameter_count,0.464,0.575,0.513
Lassa,deepseek,unit,0.923,0.316,0.471
Lassa,deepseek,value,0.338,0.338,0.338
Lassa,deepseek,method,0.727,0.716,0.722
Lassa,deepseek,value_type,0.291,0.262,0.276
Lassa,deepseek,paired_uncertainty,0.671,0.77,0.718
Lassa,deepseek,single_type_uncertainty,0.587,0.936,0.721
Lassa,deepseek,population_sex,0.619,0.338,0.437
Lassa,deepseek,population_group,0.302,0.171,0.218
Lassa,deepseek,population_sample_type,0.465,0.263,0.336
SARS,deepseek,parameter_count,0.596,0.603,0.6
SARS,deepseek,unit,0.897,0.578,0.703
SARS,deepseek,value,0.335,0.335,0.335
SARS,deepseek,method,0.847,0.887,0.866
SARS,deepseek,value_type,0.631,0.594,0.612
SARS,deepseek,paired_uncertainty,0.69,0.823,0.751
SARS,deepseek,single_type_uncertainty,0.636,0.904,0.746
SARS,deepseek,population_sex,0.422,0.27,0.33
SARS,deepseek,population_group,0.391,0.22,0.281
SARS,deepseek,population_sample_type,0.409,0.22,0.286
Zika,deepseek,parameter_count,0.501,0.599,0.546
Zika,deepseek,unit,0.62,0.31,0.414
Zika,deepseek,value,0.286,0.286,0.286
Zika,deepseek,method,0.91,0.794,0.848
Zika,deepseek,value_type,0.376,0.394,0.385
Zika,deepseek,statistical_approach,0.708,0.665,0.686
Zika,deepseek,paired_uncertainty,0.641,0.71,0.674
Zika,deepseek,single_type_uncertainty,0.582,1.0,0.736
Zika,deepseek,population_sex,0.486,0.343,0.402
Zika,deepseek,population_group,0.588,0.353,0.441
Zika,deepseek,population_sample_type,0.305,0.183,0.229
Ebola,kimi,parameter_count,0.524,0.73,0.61
