model,category,metric,mean_score,std_score,n_pathogens
oss,flagging,F1,0.655,0.064,4
oss,count,F1,0.591,0.065,4
oss,extraction,F1,0.535,0.022,4
oss,overall,F1,0.594,0.025,4
oss,flagging,Precision,0.514,0.073,4
oss,count,Precision,0.829,0.104,4
oss,extraction,Precision,0.523,0.034,4
oss,overall,Precision,0.622,0.059,4
oss,flagging,Recall,0.918,0.064,4
oss,count,Recall,0.474,0.093,4
oss,extraction,Recall,0.57,0.039,4
oss,overall,Recall,0.654,0.024,4
deepseek,flagging,F1,0.602,0.059,4
deepseek,count,F1,0.56,0.033,4
deepseek,extraction,F1,0.504,0.028,4
deepseek,overall,F1,0.555,0.009,4
deepseek,flagging,Precision,0.459,0.059,4
deepseek,count,Precision,0.533,0.053,4
deepseek,extraction,Precision,0.556,0.017,4
deepseek,overall,Precision,0.516,0.017,4
deepseek,flagging,Recall,0.882,0.061,4
deepseek,count,Recall,0.591,0.011,4
deepseek,extraction,Recall,0.493,0.031,4
deepseek,overall,Recall,0.655,0.015,4
kimi,flagging,F1,0.718,0.074,4
kimi,count,F1,0.62,0.046,4
kimi,extraction,F1,0.56,0.014,4
kimi,overall,F1,0.633,0.038,4
kimi,flagging,Precision,0.624,0.064,4
kimi,count,Precision,0.53,0.051,4
kimi,extraction,Precision,0.546,0.02,4
kimi,overall,Precision,0.567,0.041,4
kimi,flagging,Recall,0.848,0.098,4
kimi,count,Recall,0.75,0.036,4
kimi,extraction,Recall,0.602,0.031,4
kimi,overall,Recall,0.733,0.035,4
glm,flagging,F1,0.722,0.079,4
glm,count,F1,0.613,0.04,4
glm,extraction,F1,0.542,0.015,4
glm,overall,F1,0.626,0.038,4
glm,flagging,Precision,0.674,0.079,4
glm,count,Precision,0.608,0.084,4
glm,extraction,Precision,0.53,0.028,4
glm,overall,Precision,0.604,0.06,4
glm,flagging,Recall,0.778,0.078,4
glm,count,Recall,0.624,0.036,4
glm,extraction,Recall,0.58,0.023,4
glm,overall,Recall,0.661,0.021,4
gpt,flagging,F1,0.661,0.063,4
gpt,count,F1,0.501,0.057,4
gpt,extraction,F1,0.586,0.028,4
gpt,overall,F1,0.582,0.034,4
gpt,flagging,Precision,0.515,0.065,4
gpt,count,Precision,0.361,0.062,4
gpt,extraction,Precision,0.588,0.042,4
gpt,overall,Precision,0.488,0.041,4
gpt,flagging,Recall,0.931,0.061,4
gpt,count,Recall,0.834,0.034,4
gpt,extraction,Recall,0.605,0.022,4
gpt,overall,Recall,0.79,0.022,4
