Model,Pathogen,Title & Abstract Screening,Download and Harvest,Full-text Screening,Parameter Extraction,Model Extraction,Outbreak Extraction,PDF-to-MD Conversion
oss,Ebola,0.009943216666666666,0.010128966666666666,0.0293619,1.4849773333333334,0.15753191666666666,0.10961711666666667,0.018333333333333333
oss,Lassa,0.014402183333333334,0.017335183333333334,0.027789916666666668,2.621231933333333,0.20437451666666667,0.14270053333333332,0.018333333333333333
oss,SARS,0.0072002,0.011868266666666667,0.028799283333333335,1.4156693833333334,0.15537458333333334,0.11882433333333334,0.018333333333333333
oss,Zika,0.010170933333333333,0.0029899166666666668,0.049333683333333336,1.3561194833333334,0.19323806666666668,0.17937533333333333,0.018333333333333333
gpt,Ebola,0.02829555,0.010128966666666666,0.20968125,0.69966545,1.1223038333333333,1.3310018333333333,0.018333333333333333
gpt,Lassa,0.02680455,0.017335183333333334,0.14676583333333335,7.240597583333333,1.4522546166666668,1.2468316,0.018333333333333333
gpt,SARS,0.03140023333333333,0.011868266666666667,0.22804133333333335,0.8498590666666667,1.17994545,0.89967835,0.018333333333333333
gpt,Zika,0.032848716666666666,0.0029899166666666668,0.15978405,0.6512432,1.3637866166666666,1.47047165,0.018333333333333333
glm,Ebola,0.04777418333333333,0.010128966666666666,0.39040765,3.621693666666667,0.8193722666666666,0.95845055,0.018333333333333333
glm,Lassa,0.04797538333333334,0.017335183333333334,0.2811188333333333,4.00072315,1.2980725666666666,0.9920641,0.018333333333333333
glm,SARS,0.0486752,0.011868266666666667,0.37617656666666666,4.1606217,0.8227649666666667,0.8020190166666666,0.018333333333333333
glm,Zika,0.054694283333333336,0.0029899166666666668,0.27499495,2.7154811333333333,1.0345502,1.4555062833333334,0.018333333333333333
kimi,Ebola,0.037428583333333335,0.010128966666666666,0.24107048333333334,2.07084315,0.55363785,0.5849432666666666,0.018333333333333333
kimi,Lassa,0.03489953333333334,0.017335183333333334,0.18213196666666667,1.8158413666666666,0.5426184,0.4346948666666667,0.018333333333333333
kimi,SARS,0.036886166666666664,0.011868266666666667,0.23533601666666668,1.6329230333333333,0.6102976,0.5523214166666667,0.018333333333333333
kimi,Zika,0.0433188,0.0029899166666666668,0.19317865,1.5616053333333333,0.6244489333333333,0.48679543333333336,0.018333333333333333
deepseek,Ebola,0.03912673333333333,0.010128966666666666,0.31848238333333334,0.3344740666666667,0.7515564,0.10023731666666667,0.018333333333333333
deepseek,Lassa,0.03614771666666667,0.017335183333333334,0.2136872,0.311115,0.6419403333333333,0.08658573333333333,0.018333333333333333
deepseek,SARS,0.03732381666666667,0.011868266666666667,0.28736525,0.3239814166666667,0.9963430166666667,0.08913123333333334,0.018333333333333333
deepseek,Zika,0.041409016666666666,0.0029899166666666668,0.2165745,0.30995043333333333,0.4604026,0.0629749,0.018333333333333333
