,Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,perg_abstract_result,perg_fulltext_result
0,"Quantitative analysis of particles, genomes and infectious particles in supernatants of haemorrhagic fever virus cell cultures","Weidmann, M.; Sall, A. A.; Manuguerra, J. C.; Koivogui, L.; Adjami, A.; Traore, F.; Hedlund, K. O.; Lindegren, G.; Mirazimi, A.","Information on the replication of viral haemorrhagic fever viruses is not readily available and has never been analysed in a comparative approach. Here, we compared the cell culture growth characteristics of haemorrhagic fever viruses (HFV), of the Arenaviridae, Filoviridae, Bunyaviridae, and Flavivridae virus families by performing quantitative analysis of cell culture supernatants by (i) electron microscopy for the quantification of virus particles, (ii) quantitative real time PCR for the quantification of genomes, and (iii) determination of focus forming units by coating fluorescent antibodies to infected cell monolayers for the quantification of virus infectivity. The comparative analysis revealed that filovirus and RVFV replication results in a surplus of genomes but varying degrees of packaging efficiency and infectious particles. More efficient replication and packaging was observed for Lassa virus, and Dengue virus resulting in a better yield of infectious particles while, YFV turned out to be most efficient with only 4 particles inducing one FFU. For Crimean-Congo haemorrhagic fever virus (CCHFV) a surplus of empty shells was observed with only one in 24 particles equipped with a genome. The complete particles turned out to be extraordinarily infectious.",2011.0,2011,Virology Journal,8,81,(24 February 2011)-(24 February 2011),CABI:20113105837,,,#1,Weidmann 2011,,,EXCLUDE,EXCLUDE
1,Development of Mobile Laboratory for Viral Hemorrhagic Fever Detection in Africa,"Weidmann, Manfred; Faye, Ousmane; Faye, Oumar; Abd El Wahed, Ahmed; Patel, Pranav; Batejat, Christophe; Manugerra, Jean Claude; Adjami, Aimee; Niedrig, Matthias; Hufert, Frank T.; Sall, Amadou A.","Background. A mobile laboratory transportable on commercial flights was developed to enable local response to viral hemorrhagic fever outbreaks. Methods. The development progressed from use of mobile real-time reverse-transcription polymerase chain reaction to mobile real-time recombinase polymerase amplification. In this study, we describe various stages of the mobile laboratory development. Results. A brief overview of mobile laboratory deployments, which culminated in the first on-site detection of Ebola virus disease (EVD) in March 2014, and their successful use in a campaign to roll back EVD cases in Conakry in the West Africa Ebola virus outbreak are described. Conclusions. The developed mobile laboratory successfully enabled local teams to perform rapid disgnostic testing for viral hemorrhagic fever.",2018.0,Nov 15,Journal of Infectious Diseases,218,10,1622-1630,WOS:000446875300012,,,#3,Weidmann 2018,,,EXCLUDE,EXCLUDE
2,Segmented negative-strand RNA viruses and RIG-I: divide (your genome) and rule,"Weber, Michaela; Weber, Friedemann","The group of negative-stranded RNA viruses (NSVs) with a segmented genome comprises pathogens like influenza virus (eight segments), Rift Valley fever virus and Hantavirus (three segments), or Lassa virus (two segments). Partitioning the genome allows rapid evolution of new strains by reassortment. Each segment carries a short double-stranded (ds) 'panhandle' structure which serves as promoter. Similar dsRNA structures, however, represent the optimal ligand for RIG-I, a cytoplasmic pathogen sensor of the antiviral interferon response. Thus, segmenting a virus genome can entail an increased RIG-I sensitivity. Here, we outline the astonishingly diverse and efficient strategies by which segmented NSVs are compensating for the elevated number of RIG-I Iigands in their genome.",2014.0,Aug,Current Opinion in Microbiology,20,,96-102,WOS:000340991400017,,,#4,Weber 2014,,,EXCLUDE,EXCLUDE
3,Fine Mapping of a Peptide Sequence Containing an Antigenic Site Conserved among Arenaviruses,"Weber, E. L.; Buchmeier, M. J.",,1988.0,May,Virology,164,1,30-38,WOS:A1988N143100004,,,#5,Weber 1988,,,EXCLUDE,EXCLUDE
4,Domestic and synanthropic zoonoses,"Webber, R.","The clinical aspects, diagnosis, transmission, prevalence, prevention and control of zoonotic infections such as rabies, lassa fever, leptospirosis, anthrax, brucellosis, toxoplasmosis, larval migrans, toxocariasis, and hydatid disease were discussed.",2016.0,,,,,273-288,CABI:20163139171,,,#8,Webber 2016,,,EXCLUDE,EXCLUDE
5,Diseases transmitted via body fluids,"Webber, R.","This chapter focuses on infectious diseases that are transmissible via body fluids such as blood, serum, saliva, and seminal fluid. These include venereal syphilis, gonorrhoea, Chlamydia trachomatis infection, trichomoniasis and non-gonococcal urethritis, lymphogranuloma venereum, granuloma inguinale, chancroid, genital herpes, human papillomavirus infection, human immunodeficiency virus, hepatitis B, hepatitis C, hepatitis D, Ebola haemorrhagic fever, Marburg disease, and Lassa and Crimean-Congo haemorrhagic fevers. For each disease, the following information is provided: aetiology, clinical features, diagnosis, mode of transmission, incubation period, period of communicability, occurrence and distribution, control and prevention, treatment, and surveillance.",2016.0,,,,,185-203,CABI:20163139168,,,#9,Webber 2016,,,EXCLUDE,EXCLUDE
6,Host/parasite interaction,"Webber, R.","This chapter reviews the types and outcome of immune response generated by the human body toward parasites/pathogens, such as Trichinella spiralis, Plasmodium falciparum, Helicobacter pylori and other bacteria, and human endogenous retroviruses. It also discusses the principle behind the protective immunity induced by vaccination.",2015.0,,,,,21-34,CABI:20153355993,,,#10,Webber 2015,"David Jorgensen (2019-03-29 04:53:42)(Screen): book
; ",,EXCLUDE,EXCLUDE
7,Domestic and synanthropic zoonoses,"Webber, R.","This chapter provides brief discussions on the aetiological agents, clinical features, diagnosis, mode of transmission, disease course, control and prevention, and treatment of several important domestic and synanthropic zoonoses, including those for rabies, hydatid disease, toxocariasis, larva migrans, toxoplasmosis, brucellosis, anthrax, leptospirosis, and Lassa fever.",2012.0,,,,,262-277,CABI:20123268293,,,#11,Webber 2012,,Duplicate,EXCLUDE,EXCLUDE
8,Diseases transmitted via body fluids,"Webber, R.","This chapter provides discussions on the aetiology, clinical features, diagnosis, epidemiology, mode of transmission, disease course, control and prevention, and medical treatment of several important infectious diseases transmitted via body fluids, including those for venereal syphilis, gonorrhoea, chlamydia infection, trichomoniasis, non-gonococcal urethritis, lymphogranuloma venereum, granuloma inguinale (donovanosis), chancroid, genital herpes, human papillomavirus infections, HIV infections, hepatitis B, hepatitis C, hepatitis delta, Ebola haemorrhagic fever, Marburg haemorrhagic fever, Lassa haemorrhagic fever, and Crimean-Congo haemorrhagic fever.",2012.0,,,,,176-194,CABI:20123268290,,,#12,Webber 2012,,,EXCLUDE,EXCLUDE
9,Domestic and synanthropic zoonoses,"Webber, R.","A discussion on is presented domestic and synanthropic zoonoses. Details covered for each disease are the organism involved, clinical features of the infection, diagnosis, transmission, incubation period, communicability, occurrence and distribution, control and prevention, treatment and surveillance. Included infectious diseases under the classification of this chapter are the following: rabies, hydatid disease, toxocariasis, larva migrans, toxoplasmosis, brucellosis, anthrax, leptospirosis and Lassa fever.",2009.0,,,,,243-256,CABI:20093135880,,,#13,Webber 2009,,Duplicate,EXCLUDE,EXCLUDE
