Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Emerging infectious diseases: Focus on infection control issues for novel coronaviruses (Severe Acute Respiratory Syndrome-CoV and Middle East Respiratory Syndrome-CoV), hemorrhagic fever viruses (Lassa and Ebola), and highly pathogenic avian influenza viruses, A(H5N1) and A(H7N9)","Weber, David J.; Rutala, William A.; Fischer, William A.; Kanamori, Hajime; Sickbert-Bennett, Emily E.","Over the past several decades, we have witnessed the emergence of many new infectious agents, some of which are major public threats. New and emerging infectious diseases which are both transmissible from patient-to-patient and virulent with a high mortality include novel coronaviruses (SARS-CoV, MERSCV), hemorrhagic fever viruses (Lassa, Ebola), and highly pathogenic avian influenza A viruses, A(H5N1) and A(H7N9). All healthcare facilities need to have policies and plans in place for early identification of patients with a highly communicable diseases which are highly virulent, ability to immediately isolate such patients, and provide proper management (e.g., training and availability of personal protective equipment) to prevent transmission to healthcare personnel, other patients and visitors to the healthcare facility. (C) 2016 Association for Professionals in Infection Control and Epidemiology, Inc. Published by Elsevier Inc. All rights reserved.",2016,May 2,American Journal of Infection Control,44,5,E91-E100,WOS:000376438600015,,,#6,Weber 2016,Exclusion reason: 6 not original estimates/ primary data; ,review
Risks and prevention of nosocomial transmission of rare zoonotic diseases,"Weber, D. J.; Rutala, W. A.","Americans are increasingly exposed to exotic zoonotic diseases through travel, contact with exotic pets, occupational exposure, and leisure pursuits. Appropriate isolation precautions are required to prevent nosocomial transmission of rare zoonotic diseases for which person-to-person transmission has been documented. This minireview provides guidelines for the isolation of patients and management of staff exposed to the following infectious diseases with documented person-to-person transmission: Andes hantavirus disease, anthrax, B virus infection, hemorrhagic fevers (due to Ebola, Marburg, Lassa, Crimean-Congo hemorrhagic fever, Argentine hemorrhagic fever, and Bolivian hemorrhagic fever viruses), monkeypox, plague, Q fever, and rabies. Several of these infections may also be encountered as bioterrorism hazards (i.e., anthrax, hemorrhagic fever viruses, plague, and Q fever). Adherence to recommended isolation precautions will allow for proper patient care while protecting the health care workers who provide care to patients with known or suspected zoonotic infections capable of nosocomial transmission.",2001,Feb 1,Clinical Infectious Diseases,32,3,446-456,WOS:000166674300015,,,#7,Weber 2001,Exclusion reason: 6 not original estimates/ primary data; ,review
Diseases transmitted via body fluids,"Webber, R.","A discussion on diseases transmitted via body fluids (sexually transmitted diseases and haemorrhagic fevers) is presented. Details covered for each disease are the organism involved, clinical features of the infection, diagnosis, transmission, incubation period, communicability, occurrence and distribution, control and prevention, treatment and surveillance. Included infectious diseases under the classification of this chapter are the following: yaws (Treponema pallidum subspecies pertenue), pinta (T. carateum), endemic syphilis, venereal syphilis, gonorrhoea, Chlamydia, Trichomonas and non-gonococcal urethritis, lymphogranuloma venereum, granuloma inguinale, chancroid, genital herpes, human papillomavirus, human immunodeficiency virus, hepatitis B, hepatitis C, hepatitis delta, Ebola haemorrhagic fever, Marburg haemorrhagic fever, Lassa fever and Crimean-Congo haemorrhagic fever.",2009,,,,,158-177,CABI:20093135877,,,#14,Webber 2009,"Exclusion reason: 7 not peer reviewed; Natsuko Imai (2019-10-26 03:30:40)(Select): book, exlude; ",""
Options for the control of rodent-borne viral diseases in West Africa,"Tomori, O.","Over 30 different viruses have been isolated from wild rodents in West Africa. These viruses can be classified into three groups. While the public health significance of many of these rodent-'associated' viruses remains undefined, three of the rodent-borne viruses, Lassa, C-CHF and Mokola are known to cause human infections with high morbidity and major mortality. In Nigeria, for example, more than 17% of over 7,500 trapped animals were Mastomys natalensis, the natural reservoir of Lassa virus. Similarly, shrews commonly found in households harbor Mokola virus, a rabies-related virus, shown to cause illness and death in humans. The Congo-Crimean hemorrhagic fever (C-CHF) virus, which causes serious disease in the Democratic Republic of Congo and epidemics with high mortality rates in East Africa and Asia, has been isolated on numerous occasions in parts of West Africa, where it has not yet been incriminated as a cause of human disease. Presently, there is no vaccine against infections caused by these viruses, therefore rodent control is clearly the most viable option in the control of these diseases. However, given the current poor level of environment tal sanitation and apparent public indifference to the health hazards of rodents in rural and urban Africa, reducing domestic and peridomestic rodent populations and limiting human contact with these rodents pose a daunting problem. An integrated research and control program focusing on public health education, personnel training, environmental management and rodenticidal measures is needed. Concurrent with this approach is the urgent necessity to improve disease surveillance and laboratory diagnosis, and to explore new approaches for the development of vaccines, especially for the Lassa virus.",1999,,,,,207-211,WOS:000086564100021,,,#69,Tomori 1999,Exclusion reason: 7 not peer reviewed; Natsuko Imai (2019-10-26 03:30:22)(Select): conference proceedings exclude; ,""
Lassa Fever and Other Viral Hemorrhagic Disorders,"Tomori, O.",,1988,1988,Impact of Science on Society,38,2,115-128,WOS:A1988Q388800003,,,#70,Tomori 1988,Exclusion reason: 6 not original estimates/ primary data; Natsuko Imai (2019-10-24 00:58:09)(Select): paper copy; ,review
"Risk factors for Lassa fever in endemic communities of Edo State, Nigeria","Tobin, E. A.; Asogun, D.; Happi, C.; Ogbaini, E.; Gunther, S.",,2014,Apr,International Journal of Infectious Diseases,21,,258-259,WOS:000209704000542,,,#73,Tobin 2014,"Exclusion reason: 7 not peer reviewed; David Jorgensen (2019-06-22 00:21:31)(Select): poster
; ",""
Lassa fever in Sierra Leone: UN peacekeepers are at risk,"ter Meulen, J.; Lenz, O.; Koivogui, L.; Magassouba, N.; Kaushik, S. K.; Lewis, R.; Aldis, W.",,2001,Jan,Tropical Medicine & International Health,6,1,83-84,WOS:000167703800013,,,#87,terMeulen 2001,Exclusion reason: 4 case report/study; Natsuko Imai (2019-03-28 03:31:48)(Screen): https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-3156.2001.00676.x; ,""
Lassa fever: immuno-epidemiological approach to the study of an endemic viral haemorrhagic fever,"ter Meulen, J.",,2000,2000,Medecine tropicale : revue du Corps de sante colonial,60,2 Suppl,20-3,MEDLINE:11100455,,,#89,terMeulen 2000,Exclusion reason: 6 not original estimates/ primary data; Natsuko Imai (2019-10-24 00:56:45)(Select): paper copy; ,""
"Re-emerging Lassa fever outbreaks in Nigeria: Re-enforcing ""One Health"" community surveillance and emergency response practice","Tambo, Ernest; Adetunde, Oluwasegun T.; Olalubi, Oluwasogo A.","We evaluated the impact of man-made conflict events and climate change impact in guiding evidence-based community ""One Health"" epidemiology and emergency response practice against re-/emerging epidemics. Increasing evidence of emerging and re-emerging zoonotic diseases including recent Lassa fever outbreaks in almost 20 states in Nigeria led to 101 deaths and 175 suspected and confirmed cases since August 2015. Of the 75 laboratory confirmed cases, 90 deaths occurred representing 120% laboratory-confirmed case fatality. The outbreak has been imported into neighbouring country such as Benin, where 23 deaths out of 68 cases has also been reported. This study assesses the current trends in re-emerging Lassa fever outbreak in understanding spatio-geographical reservoir(s), risk factors pattern and Lassa virus incidence mapping, inherent gaps and raising challenges in health systems. It is shown that Lassa fever peak endemicity incidence and prevalence overlap the dry season (within January to March) and reduced during the wet season (of May to November) annually in Sierra Leone, Senegal to Eastern Nigeria. We documented a scarcity of consistent data on rodent (reservoirs)-linked Lassa fever outbreak, weak culturally and socio-behavioural effective prevention and control measures integration, weak or limited community knowledge and awareness to inadequate preparedness capacity and access to affordable case management in affected countries. Hence, robust sub/regional leadership commitment and investment in Lassa fever is urgently needed in building integrated and effective community ""One Health"" surveillance and rapid response approach practice coupled with pest management and phytosanitation measures against Lassa fever epidemic. This offers new opportunities in understanding human-animal interactions in strengthening Lassa fever outbreak early detection and surveillance, warning alerts and rapid response implementation in vulnerable settings. Leveraging on Africa CDC centre, advances in cloud-sourcing and social media tools and solutions is core in developing and integrating evidence-based and timely risk communication, and reporting systems in improving contextual community-based immunization and control decision making policy to effectively defeat Lassa fever outbreak and other emerging pandemics public health emergencies in Africa and worldwide.",2018,Apr 28,Infectious Diseases of Poverty,7,,,WOS:000431252300001,,,#99,Tambo 2018,Exclusion reason: 6 not original estimates/ primary data; ,review
Management of viral haemorrhagic fever in the Netherlands,"Swaan, C. M.; van den Broek, P. J.; Wijnands, S.; van Steenbergen, J. E.","Two cases of Lassa fever have been reported in the Netherlands since viral haemorrhagic fevers became notifiable diseases in 1978. In 1980, an expatriate from Burkina Faso who was not seriously ill was confirmed by laboratory tests after his discharge from hospital. The second case occurred in 2000: the patient died on the 11th day of admission to hospital. The problems we faced in the management of this case and the contact investigation--more than one hundred contacts - highlighted the need for national recommendations in the Netherlands.",2002,2002-Mar,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,7,3,48-50,MEDLINE:12631946,,,#103,Swaan 2002,Exclusion reason: 5 no report of parameters ; ,""
