Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Lassa Fever in Children in Sierra-Leone, West-Africa","Webb, P. A.; McCormick, J. B.; King, I. J.; Bosman, I.; Johnson, K. M.; Elliott, L. H.; Kono, G. K.; Osullivan, R.",,1986,1986,Transactions of the Royal Society of Tropical Medicine and Hygiene,80,4,577-582,WOS:A1986E011300021,,,#18,Webb 1986,"",""
Hemorrhagic-Fever Virus-Infections in an Isolated Rain-Forest Area of Central Liberia - Limitations of the Indirect Immunofluorescence Slide Test for Antibody Screening in Africa,"Vanderwaals, F. W.; Pomeroy, K. L.; Goudsmit, J.; Asher, D. M.; Gajdusek, D. C.",,1986,Sep,Tropical and Geographical Medicine,38,3,209-214,WOS:A1986D574900003,,,#49,Vanderwaals 1986,"Natsuko Imai (2019-10-24 01:12:40)(Select): seroprevalence in specific healthy population; Natsuko Imai (2019-10-24 01:11:26)(Select): paper copy; Natsuko Imai (2019-03-29 01:02:52)(Screen): Serum samples from 119 healthy individuals and 106 epilepsy patients inhabiting Grand Bassa County, Liberia, were tested for antibodies to hemorrhagic fever viruses (HFV) by indirect immunofluorescence. E6 Vero cells infected with Lassa fever virus (LAS), Rift Valley Fever virus (RVF), Congo Hemorrhagic Fever virus (CON), Marburg virus (MBG) and the Ebola (EBO) virus strains Mayinga (May) and Boniface (Bon) were used as antigen. To obtain reproducible and specific test results sera had to be absorbed extensively with uninfected E6 Vero cells, tested for reactivity to both virus infected and uninfected E6 Vero cells and read ""blindly"" by two independent observers. Antibodies to EBO were shown to be highly prevalent (13.4%) in the population of this rainforest area, while prevalences of antibodies to LAS (1.3%), RVF (0.4%) and MBG (1.3%) were much lower. No correlation between past HFV infection and post-encephalitic epilepsy or other reported febrile illnesses could be established.; ",""
Potential for Seasonal Lassa Fever Case Exportation from Nigeria,"Tuite, Ashleigh R.; Watts, Alexander; Kraemer, Moritz U. G.; Khan, Kamran; Bogoch, Isaac I.","The largest epidemic of Lassa fever in recent history occurred in Nigeria in 2018. We assessed the potential for cases of Lassa fever originating in Nigeria to arrive at international destinations via air travel using a probabilistic model. We estimated no exported cases in 62% of 1,000 model simulations. In 30% of simulations, a single exported case was projected. Greater than 40% of outbound travelers from Nigeria arrived in the United States, the United Kingdom, and Ghana, placing these countries at greatest risk for receiving an exported case. There was a wide range in the capacity of highly connected countries to respond to infectious disease threats, as measured by the Infectious Disease Vulnerability Index. Although we quantified a low probability of case exportation during this outbreak, countries with the greatest connectivity to Nigeria should be alert to the potential risks of Lassa fever importation and be prepared to manage infected individuals.",2019,2019-Jan-28,The American journal of tropical medicine and hygiene,,,,MEDLINE:30693858,,,#60,Tuite 2019,Natsuko Imai (2019-10-24 01:22:00)(Select): paper copy; ,Seasonality
"An Outbreak of Lassa Fever on Jos Plateau, Nigeria, in January-February 1970 - a Preliminary Report","Troup, J. M.; White, H. A.; Fom, Almd; Carey, D. E.",,1970,1970,American Journal of Tropical Medicine and Hygiene,19,4,695-&,WOS:A1970G789400020,,,#61,Troup 1970,"Natsuko Imai (2019-10-24 01:08:47)(Select): past outbreak, cfr, seroprevalence in high risk population; Natsuko Imai (2019-10-24 01:07:04)(Select): paper copy; ",""
Viral Hemorrhagic-Fever Antibodies in Nigerian Populations,"Tomori, O.; Fabiyi, A.; Sorungbe, A.; Smith, A.; McCormick, J. B.",,1988,Mar,American Journal of Tropical Medicine and Hygiene,38,2,407-410,WOS:A1988M689600029,,,#68,Tomori 1988,Natsuko Imai (2019-10-23 23:22:51)(Select): seroprevalence in health populations; ,""
Lassa fever in Nigeria: insights into seroprevalence and risk factors in rural Edo State: a pilot study,"Tobin, E. A.; Asogun, D.; Akpede, N.; Adomeh, D.; Odia, I.; Gunther, S.","Background: The study aimed to assess the prevalence of risk factors and Lassa seroprevalence in Esan West local government area of Edo State. Methodology: One hundred and sixty-six respondents from 50 households were interviewed using structured questionnaires on prevalence of risk factors for Lassa virus exposure, household heads provided information on household risk factors. Determination of Lassa virus specific antibodies immunoglobulin (Ig) in the blood was by an Enzyme-linked immunosorbent assay technique. Analysis was performed with Statistical Package for Social Sciences (SPSS) version 16. (SPSS Inc, Chicago, IL, USA). Results: Rodents were seen in 49 (96.1%) houses in the previous 6 months, garri was eaten as a soaked meal by 97 (58.4%) respondents. IgM was found in 2 (1.3%) samples, and IgG, in 103 (58.2%). Negative IgG sero status was significantly associated with age <20 years (P<0.00) and marital status as single (P<0.00). Conclusion: There is a need for health education to improve food hygiene practices and reduce practices that promote rodent contact with humans.",2015,2015,Journal of Medicine in the Tropics,17,2,51-55,CABI:20153286947,,,#74,Tobin 2015,"",""
"The Yellow-Fever Epidemic in Ethiopia, 1961-1962 - Retrospective Serological Evidence for Concomitant Ebola or Ebola-Like Virus-Infection","Tignor, G. H.; Casals, J.; Shope, R. E.",,1993,Mar-Apr,Transactions of the Royal Society of Tropical Medicine and Hygiene,87,2,162-162,WOS:A1993LC47700013,,,#79,Tignor 1993,Natsuko Imai (2019-10-03 00:15:34)(Select): negative seroprevalence; ,""
Viral Hemorrhagic-Fever Survey in Chobe (Botswana),"Tessier, S. F.; Rollin, P. E.; Sureau, P.",,1987,1987,Transactions of the Royal Society of Tropical Medicine and Hygiene,81,4,699-700,WOS:A1987K029400057,,,#81,Tessier 1987,"Natsuko Imai (2019-10-23 23:39:16)(Select): negative seroprevalence; Natsuko Imai (2019-10-23 23:39:06)(Select): paper copy
; ",""
Hunting of peridomestic rodents and consumption of their meat as possible risk factors for rodent-to-human transmission of Lassa virus in the Republic of Guinea,"terMeulen, J.; Lukashevich, I.; Sidibe, K.; Inapogui, A.; Marx, M.; Dorlemann, A.; Yansane, M. L.; Koulemou, K.; ChangClaude, J.; Schmitz, H.","In this population-based study, we correlated possible risk factors for rodent-to-human transmission of Lassa virus with markers of Lassa fever in two different regions of the Republic of Guinea (Prefectures of Pita and Gueckedou). Antibody prevalence was 2.6% (6 of 232) in Pita compared with 14.0% (105 of 751) in Gueckedou, with up to 35.0% seropositivity in selected villages of the higher prevalence area. We observed three major risk factors in Gueckedou favoring Lassa virus transmission: rodent infestation was much higher food was more often stored uncovered and most strikingly, peridomestic rodents were hunted as a protein source by 91.5% of the population as opposed to 0% in Pita. To control for the confounding effects of differences in rodent infestation and food storage, rodent consumption was analyzed as a risk factor for transmission of Lassa virus comparing rodent consumers (RC) and nonconsumers (NC) in Gueckedou only: 14.6% of RC had Lassa virus antibodies versus 7.4% of NC (P = 0.1) and 23.0% of RC reported a history of a febrile illness with hearing loss (the most common sequel of Lassa fever) versus 6.1% of NC (P = 0.003).",1996,Dec,American Journal of Tropical Medicine and Hygiene,55,6,661-666,WOS:A1996WG14000017,,,#85,terMeulen 1996,"",""
Detection of lassa virus antinucleoprotein immunoglobulin g (IgG) and IgM antibodies by a simple recombinant immunoblot assay for field use,"ter Meulen, J.; Koulemou, K.; Wittekindt, T.; Windisch, K.; Strigl, S.; Conde, S.; Schmitz, H.","The nucleoprotein of Lassa virus, strain Josiah, was expressed in Escherichia coli as an N-terminally truncated, histidine-tagged recombinant protein. Following affinity purification the protein was completely denatured and spotted onto nitrocellulose membrane. A total of 1 mu g of protein,vas applied for detection of Lassa virus antibodies (LVA) in a simple immunoblot assay. Specific anti-lassa immunoglobulin M (IgM) antibodies could be detected by increasing the amount of protein to 5 mu g. A panel of 913 serum specimens from regions in which Lassa virus was endemic and from regions in which Lassa virus was not endemic was used for evaluating the sensitivity and specificity of the LVA immunoblot in comparison to those of an indirect immunofluorescence (IIF) assay. The sera originated from field studies conducted in the Republic of Guinea (570 serum samples) and Liberia (99 serum samples), from inpatients of the clinical department of the Bernhard-Nocht-Institute, Hamburg, Germany (94 serum samples), and from healthy German blood donors (150 serum samples). In comparison to the IIF assay the LVA immunoblot assay had a specificity of 90.0 to 99.3%, depending on the origin of the specimens. The sensitivity was found to be highest for the Guinean samples (90.7%) and was lower for the Liberian samples (75%), Acute Lassa fever was diagnosed by PCR in 12 of 59 (20.3%) patients with fever of unknown origin (FUO) from the Republic of Guinea, On admission to the hospital, nine Lassa fever patients (75%) were reactive by the IgM immunoblot assay. One of the patients was infected with a new Lassa variant, which showed 10.4% variation on the amino acid level in comparison to the prototype strain of Lassa virus, Josiah, Seven PCR-negative patients were reactive by immunoblotting, The positive and negative predictive values of a single IgM immunoblot result for acute, PCR-confirmed Lassa fever were therefore 53.6 and 93.0%, respectively. Because of its high negative predictive value, a single IgM immunoblot result will be valuable for excluding acute Lassa fever for cases of FUO in areas where Lassa fever is endemic.",1998,Nov,Journal of Clinical Microbiology,36,11,3143-3148,WOS:000076491200006,,,#88,terMeulen 1998,"",""
