Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Assessment of Nipah virus transmission among pork sellers in Seremban, Malaysia","Premalatha, G. D.; Lye, M. S.; Ariokasamy, J.; Parashar, U. D.; Rahmat, R.; Lee, B. Y.; Ksiazek, T. G.",,2000,June,Southeast Asian Journal of Tropical Medicine and Public Health,31,2,307-309,BCI:BCI200000536728,,,#21,Premalatha 2000,"",""
Outbreak of Nipah-virus infection among abattoir workers in Singapore,"Paton, N. I.; Leo, Y. S.; Zaki, S. R.; Auchus, A. P.; Lee, K. E.; Ling, A. E.; Chew, S. K.; Ang, B.; Rollin, P. E.; Umapathi, T.; Sng, I.; Lee, C. C.; Lim, E.; Ksiazek, T. G.",,1999,Oct 9,Lancet,354,9186,1253-1256,WOS:000083010400011,10.1016/s0140-6736(99)04379-2,,#36,Paton 1999,"",clinical
"Case-control study of risk factors for human infection with a new zoonotic paramyxovirus, Nipah virus, during a 1998-1999 outbreak of severe encephalitis in Malaysia","Parashar, U. D.; Sunn, L. M.; Ong, F.; Mounts, A. W.; Arif, M. T.; Ksiazek, T. G.; Kamaluddin, M. A.; Mustafa, A. N.; Kaur, H.; Ding, L. M.; Othman, G.; Radzi, H. M.; Kitsutani, P. T.; Stockton, P. C.; Arokiasamy, J.; Gary, H. E.; Anderson, L. J.; Nipah Encephalitis Outbreak, Invest",,2000,May,Journal of Infectious Diseases,181,5,1755-1759,WOS:000087353700032,10.1086/315457,,#42,Parashar 2000,"",Seroprevalence in animals
"A cohort study of health care workers to assess nosocomial transmissibility of Nipah virus, Malaysia, 1999","Mounts, A. W.; Kaur, H.; Parashar, U. D.; Ksiazek, T. G.; Cannon, D.; Arokiasamy, J. T.; Anderson, L. J.; Lye, M. S.; Nipah Virus Nosocomial Study, Grp",,2001,Mar 1,Journal of Infectious Diseases,183,5,810-813,WOS:000166836500017,10.1086/318822,,#65,Mounts 2001,"",Seroprevalence in animals
"Nipah virus infection among abattoir workers in Malaysia, 1998-1999","Mazrura, Sahani; Parashar, U. D.; Roslinah, Ali; Premalatha, Das; Lye, M. S.; Isa, M. M.; Arif, M. T.; Ksiazek, T. G.; Sivamoorthy, M.",,2001,2001,International Journal of Epidemiology,30,5,1017-1020,CABI:20013164161,10.1093/ije/30.5.1017,,#86,Mazrura 2001,"",""
"Foodborne transmission of Nipah virus, Bangladesh","Luby, Stephen P.; Rahman, Mahmudur; Hossain, M. Jahangir; Blum, Lauren S.; Husain, M. Mushtaq; Gurley, Emily; Khan, Rasheda; Ahmed, Be-Nazir; Rahman, Shafiqur; Nahar, Nazmun; Kenah, Eben; Comer, James A.; Ksiazek, Thomas G.",,2006,Dec,Emerging Infectious Diseases,12,12,1888-1894,WOS:000242301900013,,,#103,Luby 2006,"",Seroprevalence in animals
"Nipath virus encephalitis reemergence, Bangladesh","Hsu, V. P.; Hossain, M. J.; Parashar, U. D.; Ali, M. M.; Ksiazek, T. G.; Kuzmin, I.; Niezgoda, M.; Rupprecht, C.; Bresee, J.; Breiman, R. F.",,2004,Dec,Emerging Infectious Diseases,10,12,2082-2087,WOS:000225528000004,10.3201/eid1012.040701,,#167,Hsu 2004,"",""
"Nipah/Hendra virus outbreak in Siliguri, West Bengal, India in 2001","Harit, A. K.; Ichhpujani, R. L.; Gupta, S.; Gill, K. S.; Lal, S.; Ganguly, N. K.; Agarwal, S. P.",,2006,Apr,Indian Journal of Medical Research,123,4,553-560,WOS:000238707400012,,,#184,Harit 2006,"",""
"Genetic characterization of Nipah virus, Bangladesh, 2004","Harcourt, B. H.; Lowe, L.; Tamin, A.; Liu, X.; Bankamp, B.; Bowden, N.; Rollin, P. E.; Comer, J. A.; Ksiazek, T. G.; Hossain, M. J.; Gurley, E. S.; Breiman, R. F.; Bellini, W. J.; Rota, P. A.",,2005,Oct,Emerging Infectious Diseases,11,10,1594-1597,WOS:000232192000016,10.3201/eid1110.050513,,#186,Harcourt 2005,Tristan Naidoo (2025-02-18 02:41:09)(Select): Outbreak?; ,""
Risk of nosocomial transmission of Nipah virus in a Bangladesh hospital,"Gurley, Emily S.; Montgomery, Joel M.; Hossain, M. Jahangir; Islam, M. Rafiqul; Molla, M. Abdur Rahim; Shamsuzzaman, S. M.; Akram, Kazi; Zaman, Kamruz; Asgari, Nima; Comer, James A.; Azad, Abul Kalam; Rollin, Pierre E.; Ksiazek, Thomas G.; Breiman, Robert F.",,2007,Jun,Infection Control and Hospital Epidemiology,28,6,740-742,WOS:000249121300020,10.1086/516665,,#192,Gurley 2007,"",Risk
Clinical features of nipah virus encephalitis among pig farmers in Malaysia,"Goh, K. J.; Tan, C. T.; Chew, N. K.; Tan, P. S. K.; Kamarulzaman, A.; Sarji, S. A.; Wong, K. T.; Abdullah, B. J. J.; Chua, K. B.; Lam, S. K.",,2000,Apr 27,New England Journal of Medicine,342,17,1229-1235,WOS:000086660600001,10.1056/nejm200004273421701,,#207,Goh 2000,"",""
High mortality in Nipah encephalitis is associated with presence of virus in cerebrospinal fluid,"Chua, K. B.; Lam, S. K.; Tan, C. T.; Hooi, P. S.; Goh, K. J.; Chew, N. K.; Tan, K. S.; Kamarulzaman, A.; Wong, K. T.",,2000,Nov,Annals of Neurology,48,5,802-805,WOS:000165130000017,10.1002/1531-8249(200011)48:5<802::Aid-ana17>3.0.Co;2-m,,#265,Chua 2000,"",clinical
The presence of Nipah virus in respiratory secretions and urine of patients during an outbreak of Nipah virus encephalitis in Malaysia,"Chua, K. B.; Lam, S. K.; Goh, K. J.; Hooi, P. S.; Ksiazek, T. G.; Kamarulzaman, A.; Olson, J.; Tan, C. T.",,2001,Jan,Journal of Infection,42,1,40-43,WOS:000167407100008,10.1053/jinf.2000.0782,,#266,Chua 2001,"",Diagnostics
Nipah virus: A recently emergent deadly paramyxovirus,"Chua, K. B.; Bellini, W. J.; Rota, P. A.; Harcourt, B. H.; Tamin, A.; Lam, S. K.; Ksiazek, T. G.; Rollin, P. E.; Zaki, S. R.; Shieh, W. J.; Goldsmith, C. S.; Gubler, D. J.; Roehrig, J. T.; Eaton, B.; Gould, A. R.; Olson, J.; Field, H.; Daniels, P.; Ling, A. E.; Peters, C. J.; Anderson, L. J.; Mahy, B. W. J.",,2000,May 26,Science,288,5470,1432-1435,WOS:000087270900053,10.1126/science.288.5470.1432,,#270,Chua 2000,Lorenzo Cattarino (2019-03-20 20:43:13)(Screen): review on nipah; ,""
Nipah virus outbreak in Malaysia,"Chua, K. B.",,2003,Apr,Journal of Clinical Virology,26,3,265-275,WOS:000181809700001,10.1016/s1386-6532(02)00268-8,,#271,Chua 2003,"",""
"Nipah encephalitis outbreak in Malaysia, clinical features in patients from Seremban","Chong, H. T.; Kunjapan, R.; Thayaparan, T.; Tong, J. M. G.; Petharunam, V.; Jusoh, M. R.; Tan, C. T.",,2002,Feb,Canadian Journal of Neurological Sciences,29,1,83-87,WOS:000173821300015,10.1017/s0317167100001785,,#274,Chong 2002,"",Seroprevalence in animals
Treatment of acute Nipah encephalitis with ribavirin,"Chong, H. T.; Kamarulzaman, A.; Tan, C. T.; Goh, K. J.; Thayaparan, T.; Kunjapan, R.; Chew, N. K.; Chua, K. B.; Lam, S. K.",,2001,Jun,Annals of Neurology,49,6,810-813,WOS:000169091400021,10.1002/ana.1062,,#275,Chong 2001,Christian Morgenstern (2025-02-13 05:35:07)(Screen): Full text link: https://onlinelibrary.wiley.com/doi/full/10.1002/ana.1062?sid=nlm%3Apubmed; ,Treatment
Risk factors for Nipah virus infection among abattoir workers in Singapore,"Chew, M. H. L.; Arguin, P. M.; Shay, D. K.; Goh, K. T.; Rollin, P. E.; Shieh, W. J.; Zaki, S. R.; Rota, P. A.; Ling, A. E.; Ksiazek, T. G.; Chew, S. K.; Anderson, L. J.",,2000,May,Journal of Infectious Diseases,181,5,1760-1763,WOS:000087353700033,10.1086/315443,,#280,Chew 2000,"",""
A survey of Nipah virus infection among various risk groups in Singapore,"Chan, K. P.; Rollin, P. E.; Ksiazek, T. G.; Leo, Y. S.; Goh, K. T.; Paton, N. I.; Sng, E. H.; Ling, A. E.",,2002,Feb,Epidemiology and Infection,128,1,93-98,WOS:000174910400012,10.1017/s0950268801006422,,#291,Chan 2002,"",""
"Nipah virus-assodiated encephalitis outbreak, Siliguri, India","Chadha, M. S.; Comer, J. A.; Lowe, L.; Rota, P. A.; Rollin, P. E.; Bellini, W. J.; Ksiazek, T. G.; Mishra, A. C.",,2006,Feb,Emerging Infectious Diseases,12,2,235-240,WOS:000235287400009,10.3201/eid1202.051247,,#292,Chadha 2006,"",""
Relapsed and late-onset Nipah encephalitis,"Tan, C. T.; Goh, K. J.; Wong, K. T.; Sarji, S. A.; Chua, K. B.; Chew, N. K.; Murugasu, P.; Loh, Y. L.; Chong, H. T.; Tan, K. S.; Thayaparan, T.; Kumar, S.; Jusoh, M. R.",,2002,Jun,Annals of Neurology,51,6,703-708,WOS:000175863700007,10.1002/ana.10212,,#345,Tan 2002,"",""
"Risk factors for Nipah virus transmission, Port Dickson, Negeri Sembilan, Malaysia: Results from a hospital-based case-control study","Amal, N. M.; Lye, M. S.; Ksiazek, T. G.; Kitsutani, P. D.; Hanjeet, K. S.; Kamaluddin, M. A.; Ong, Flora; Devi, Sutha; Stockton, P. C.; Ghazali, O.; Zainab, R.; Taha, M. A.",,2000,June,Southeast Asian Journal of Tropical Medicine and Public Health,31,2,301-306,BCI:BCI200000536727,,,#409,Amal 2000,"",""
Risk factors for Nipah virus encephalitis in Bangladesh.,Montgomery JM.; Hossain MJ.; Gurley E.; Carroll GD.; Croisier A.; Bertherat E.; Asgari N.; Formenty P.; Keeler N.; Comer J.; Bell MR.; Akram K.; Molla AR.; Zaman K.; Islam MR.; Wagoner K.; Mills JN.; Rollin PE.; Ksiazek TG.; Breiman RF.,"Nipah virus (NiV) is a paramyxovirus that causes severe encephalitis in humans. During January 2004, twelve patients with NiV encephalitis (NiVE) were identified in west-central Bangladesh. A case-control study was conducted to identify factors associated with NiV infection. NiVE patients from the outbreak were enrolled in a matched case-control study. Exact odds ratios (ORs) and 95% confidence intervals (CIs) were calculated by using a matched analysis. Climbing trees (83% of cases vs. 51% of controls, OR 8.2, 95% CI 1.25-infinity) and contact with another NiVE patient (67% of cases vs. 9% of controls, OR 21.4, 95% CI 2.78-966.1) were associated with infection. We did not identify an increased risk for NiV infection among persons who had contact with a potential intermediate host. Although we cannot rule out person-to-person transmission, case-patients were likely infected from contact with fruit bats or their secretions.",2008,Oct,Emerging infectious diseases,14,10,1526-32,,10.3201/eid1410.060507,18826814,#708,Montgomery 2008,"",""
"Genomic characterization of Nipah virus, West Bengal, India.",Arankalle VA.; Bandyopadhyay BT.; Ramdasi AY.; Jadi R.; Patil DR.; Rahman M.; Majumdar M.; Banerjee PS.; Hati AK.; Goswami RP.; Neogi DK.; Mishra AC.,"An intrafamilial outbreak in West Bengal, India, involving 5 deaths and person-to-person transmission was attributed to Nipah virus. Full-genome sequence of Nipah virus (18,252 nt) amplified from lung tissue showed 99.2% nt and 99.8% aa identity with the Bangladesh-2004 isolate, suggesting a common source of the virus.",2011,May,Emerging infectious diseases,17,5,907-9,,10.3201/eid1705.100968,21529409,#828,Arankalle 2011,"Christian Morgenstern (2025-02-14 06:26:14)(Excluded): Has outbreak + CFR (5 cases, 5 deaths); ",""
"Recurrent zoonotic transmission of Nipah virus into humans, Bangladesh, 2001-2007.",Luby SP.; Hossain MJ.; Gurley ES.; Ahmed BN.; Banu S.; Khan SU.; Homaira N.; Rota PA.; Rollin PE.; Comer JA.; Kenah E.; Ksiazek TG.; Rahman M.,"Human Nipah outbreaks recur in a specific region and time of year in Bangladesh. Fruit bats are the reservoir host for Nipah virus. We identified 23 introductions of Nipah virus into human populations in central and northwestern Bangladesh from 2001 through 2007. Ten introductions affected multiple persons (median 10). Illness onset occurred from December through May but not every year. We identified 122 cases of human Nipah infection. The mean age of case-patients was 27 years; 87 (71%) died. In 62 (51%) Nipah virus-infected patients, illness developed 5-15 days after close contact with another Nipah case-patient. Nine (7%) Nipah case-patients transmitted virus to others. Nipah case-patients who had difficulty breathing were more likely than those without respiratory difficulty to transmit Nipah (12% vs. 0%, p = 0.03). Although a small minority of infected patients transmit Nipah virus, more than half of identified cases result from person-to-person transmission. Interventions to prevent virus transmission from bats to humans and from person to person are needed.",2009,Aug,Emerging infectious diseases,15,8,1229-35,,10.3201/eid1508.081237,19751584,#833,Luby 2009,"",Seroprevalence in animals
Clinical presentation of nipah virus infection in Bangladesh.,Hossain MJ.; Gurley ES.; Montgomery JM.; Bell M.; Carroll DS.; Hsu VP.; Formenty P.; Croisier A.; Bertherat E.; Faiz MA.; Azad AK.; Islam R.; Molla MA.; Ksiazek TG.; Rota PA.; Comer JA.; Rollin PE.; Luby SP.; Breiman RF.,"In Bangladesh, 4 outbreaks of Nipah virus infection were identified during the period 2001-2004. We characterized the clinical features of Nipah virus-infected individuals affected by these outbreaks. We classified patients as having confirmed cases of Nipah virus infection if they had antibodies reactive with Nipah virus antigen. Patients were considered to have probable cases of Nipah virus infection if they had symptoms consistent with Nipah virus infection during the same time and in the same community as patients with confirmed cases. We identified 92 patients with Nipah virus infection, 67 (73%) of whom died. Although all age groups were affected, 2 outbreaks principally affected young persons (median age, 12 years); 62% of the affected persons were male. Fever, altered mental status, headache, cough, respiratory difficulty, vomiting, and convulsions were the most common signs and symptoms; clinical and radiographic features of acute respiratory distress syndrome of Nipah illness were identified during the fourth outbreak. Among those who died, death occurred a median of 6 days (range, 2-36 days) after the onset of illness. Patients who died were more likely than survivors to have a temperature >37.8 degrees C, altered mental status, difficulty breathing, and abnormal plantar reflexes. Among patients with Nipah virus infection who had well-defined exposure to another patient infected with Nipah virus, the median incubation period was 9 days (range, 6-11 days). Nipah virus infection produced rapidly progressive severe illness affecting the central nervous and respiratory systems. Clinical characteristics of Nipah virus infection in Bangladesh, including a severe respiratory component, appear distinct from clinical characteristics reported during earlier outbreaks in other countries.",2008,Apr,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,46,7,977-84,,10.1086/529147,18444812,#851,Hossain 2008,Sangeeta Bhatia (2019-08-29 21:28:00)(Select): and also time to death.; Sangeeta Bhatia (2019-08-29 21:27:51)(Select): Including for incubation period.; ,""
"Characterization of Nipah virus from outbreaks in Bangladesh, 2008-2010.",Lo MK.; Lowe L.; Hummel KB.; Sazzad HM.; Gurley ES.; Hossain MJ.; Luby SP.; Miller DM.; Comer JA.; Rollin PE.; Bellini WJ.; Rota PA.,"Nipah virus (NiV) is a highly pathogenic paramyxovirus that causes fatal encephalitis in humans. The initial outbreak of NiV infection occurred in Malaysia and Singapore in 1998-1999; relatively small, sporadic outbreaks among humans have occurred in Bangladesh since 2001. We characterized the complete genomic sequences of identical NiV isolates from 2 patients in 2008 and partial genomic sequences of throat swab samples from 3 patients in 2010, all from Bangladesh. All sequences from patients in Bangladesh comprised a distinct genetic group. However, the detection of 3 genetically distinct sequences from patients in the districts of Faridpur and Gopalganj indicated multiple co-circulating lineages in a localized region over a short time (January-March 2010). Sequence comparisons between the open reading frames of all available NiV genes led us to propose a standardized protocol for genotyping NiV; this protcol provides a simple and accurate way to classify current and future NiV sequences.",2012,Feb,Emerging infectious diseases,18,2,248-55,,10.3201/eid1802.111492,22304936,#883,Lo 2012,"",Seroprevalence in animals; phylogenetic
"Nipah Virus Contamination of Hospital Surfaces during Outbreaks, Bangladesh, 2013-2014.",Hassan MZ.; Sazzad HMS.; Luby SP.; Sturm-Ramirez K.; Bhuiyan MU.; Rahman MZ.; Islam MM.; Ströher U.; Sultana S.; Kafi MAH.; Daszak P.; Rahman M.; Gurley ES.,"Nipah virus (NiV) has been transmitted from patient to caregivers in Bangladesh presumably through oral secretions. We aimed to detect whether NiV-infected patients contaminate hospital surfaces with the virus. During December 2013-April 2014, we collected 1 swab sample from 5 surfaces near NiV-infected patients and tested surface and oral swab samples by real-time reverse transcription PCR for NiV RNA. We identified 16 Nipah patients; 12 cases were laboratory-confirmed and 4 probable. Of the 12 laboratory-confirmed cases, 10 showed NiV RNA in oral swab specimens. We obtained surface swab samples for 6 Nipah patients; 5 had evidence of NiV RNA on >1 surface: 4 patients contaminated towels, 3 bed sheets, and 1 the bed rail. Patients with NiV RNA in oral swab samples were significantly more likely than other Nipah patients to die. To reduce the risk for fomite transmission of NiV, infection control should target hospital surfaces.",2018,01,Emerging infectious diseases,24,1,15-21,,10.3201/eid2401.161758,29260663,#896,Hassan 2018,"",""
